08.11.2019 09:51:12.339 [http-bio-8888-exec-1] INFO   o.h.e.j.c.i.DriverManagerConnectionProviderImpl - HHH000006: Autocommit mode: false
08.11.2019 09:51:12.339 [http-bio-8888-exec-1] INFO   o.h.e.j.c.i.DriverManagerConnectionProviderImpl - HHH000115: Hibernate connection pool size: 100 (min=1)
08.11.2019 09:51:12.339 [http-bio-8888-exec-1] DEBUG  o.h.e.j.c.i.DriverManagerConnectionProviderImpl - Initializing Connection pool with 1 Connections
08.11.2019 09:51:12.386 [http-bio-8888-exec-1] DEBUG  o.h.e.j.e.i.JdbcEnvironmentInitiator - Database ->
       name : H2
    version : 1.4.200 (2019-10-14)
      major : 1
      minor : 4
08.11.2019 09:51:12.386 [http-bio-8888-exec-1] DEBUG  o.h.e.j.e.i.JdbcEnvironmentInitiator - Driver ->
       name : H2 JDBC Driver
    version : 1.4.200 (2019-10-14)
      major : 1
      minor : 4
08.11.2019 09:51:12.386 [http-bio-8888-exec-1] DEBUG  o.h.e.j.e.i.JdbcEnvironmentInitiator - JDBC version : 4.1
08.11.2019 09:51:12.386 [http-bio-8888-exec-1] INFO   o.h.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.H2Dialect
08.11.2019 09:51:12.401 [http-bio-8888-exec-1] DEBUG  o.h.e.j.c.i.StandardRefCursorSupport - Unexpected error trying to gauge level of JDBC REF_CURSOR support : null
08.11.2019 09:51:12.433 [http-bio-8888-exec-1] DEBUG  o.h.e.j.e.s.IdentifierHelperBuilder - JDBC driver metadata reported database stores quoted identifiers in neither upper, lower nor mixed case
08.11.2019 09:51:12.448 [http-bio-8888-exec-1] INFO   o.h.e.b.i.EnversServiceImpl - Envers integration enabled? : true
08.11.2019 09:51:12.448 [http-bio-8888-exec-1] DEBUG  o.h.t.BasicTypeRegistry - Adding type registration org.hibernate.envers.internal.entities.RevisionTypeType -> org.hibernate.type.CustomType@31230eee
